text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
muito arrependida de ter mudado pra formiga pois arcos ja encontrou a cura do covid,1126032702,1308783414749917187,2020-09-23 15:00:56,Twitter for Android,1308783414749917187,660da292cca0c39a,0.0,0.0,2.0,0.0,1252342407359877120,,
a black friday aki em casa foi proporcionada pela cemig apagão o fim de semana inteiro pq eu n passei a titularidade pro meu nome mt bom morar sozinha principalmente qdo se esta com covid e sem eletricidade vamos ver agora o que será que vem ai https://t.co/OlniPdcRtY,1126032702,1332471803336388608,2020-11-27 23:50:08,Twitter for Android,1332471803336388608,660da292cca0c39a,0.0,0.0,0.0,0.0,,,
@cemig_energia EU JA SOLICITEI A TROCA DE TITULARIDADE PELO SITE JA LIGUEI NO 116 JA FALEI COM A CEMIG ATENDE VOCES SO ME DAO PREVISAO DE 5 DIAS UTEIS COMO Q EU VO FICAR SEM ENERGIA ESTANDO COM COVID ISOLADO EM CASA SE MINHAS COISAS DA GELADEIRA PERDER NEM SAIR P COMPRAR EU POSSO,1126032702,1332388855505428481,2020-11-27 18:22:52,Twitter for Android,1332389442435346434,660da292cca0c39a,0.0,0.0,0.0,0.0,,replied_to,1332388855505428481
@cemig_energia PELO AMOR DE DEUS RELIGUE A MINHA ENERGIA NAO ESTOU COM DÉBITO NENHUM EM ATRASO E VOCÊS DESLIGARAM MESMO ASSIM ESTOU COM &gt;&gt;COVID&lt;&lt; E MORO SOZINHO E VCS QUEREM QUE EU VÁ NA AGENCIA TROCAR A TITULARIDADE DO APT COMO Q EU VOU FAZER ISSO SE EU ESTOU COM &gt;&gt;COVID&lt;&lt;????,1126032702,1332388855505428481,2020-11-27 18:20:32,Twitter for Android,1332388855505428481,660da292cca0c39a,0.0,2.0,0.0,0.0,1290049409993117696,,
@cemig_energia PELO AMOR DE DEUS RELIGUE A MINHA ENERGIA NAO ESTOU COM DÉBITO NENHUM EM ATRASO E VOCÊS DESLIGARAM MESMO ASSIM ESTOU COM &gt;&gt;COVID&lt;&lt; E MORO SOZINHO E VCS QUEREM QUE EU VÁ NA AGENCIA TROCAR A TITULARIDADE DO APT COMO Q EU VOU FAZER ISSO SE EU ESTOU COM &gt;&gt;COVID&lt;&lt;????,1126032702,1332388855505428481,2020-11-27 18:20:32,Twitter for Android,1332388855505428481,660da292cca0c39a,0.0,2.0,0.0,0.0,4019685639,,
sera q o covid vai me matar ou eu me mato antes quem quiser fazer esse bolao deixo aqui minha ideia,1126032702,1332813805039083522,2020-11-28 22:29:08,Twitter for Android,1332813805039083522,660da292cca0c39a,0.0,0.0,0.0,0.0,,,
sera q o covid vai me matar ou eu me mato antes quem quiser fazer esse bolao deixo aqui minha ideia,1126032702,1332813805039083522,2020-11-28 22:29:08,Twitter for Android,1332813805039083522,660da292cca0c39a,0.0,0.0,0.0,0.0,2284378856,,
vontade de pegar toda a minha angustia  e transformar ela em fumaça voltar a ser quem eu sou covid pelo amor de deus va embora,1126032702,1332500547837054980,2020-11-28 01:44:21,Twitter for Android,1332500547837054980,660da292cca0c39a,0.0,0.0,0.0,0.0,1436132676,,
venha senhor covid e leve toda a populacao de arcos-mg,1126032702,1355125172202856448,2021-01-29 12:06:32,Twitter for Android,1355125172202856448,660da292cca0c39a,0.0,0.0,1.0,0.0,,,
off eu to meia preocupada tem um peladao do predio da frente q a janela dele n abre desde semana passada eu to meia assim pq ele eh acima do peso se pegou covid talvez nao resistiu.. fico tao encucada nossa queria uma luz https://t.co/C2u6Bxys6H,1126032702,1377775194740252675,2021-04-02 00:09:38,Twitter for Android,1377775194740252675,660da292cca0c39a,0.0,0.0,0.0,0.0,,,
